date,Open,High,Low,price
11/28/2022,4005.36,4012.27,3955.77,3963.94
11/25/2022,4023.34,4034.02,4020.76,4026.12
11/23/2022,4001.02,4033.78,3998.66,4027.26
11/22/2022,3965.51,4005.88,3956.88,4003.58
11/21/2022,3956.23,3962.00,3933.34,3949.94
11/18/2022,3966.39,3979.89,3935.98,3965.34
11/17/2022,3919.26,3954.33,3906.54,3946.56
11/16/2022,3976.82,3983.09,3954.34,3958.79
11/15/2022,4006.41,4028.84,3953.17,3991.73
11/14/2022,3977.97,4008.97,3956.40,3957.25
11/11/22,3963.72,4001.48,3944.82,3992.93
11/10/22,3859.89,3958.33,3859.89,3956.37
11/09/22,3810.94,3818.20,3744.22,3748.57
11/08/22,3817.02,3859.40,3786.28,3828.11
11/07/22,3780.71,3813.95,3764.70,3806.80
11/04/22,3766.98,3796.34,3708.84,3770.55
11/03/22,3733.25,3750.59,3698.15,3719.89
11/02/22,3852.90,3894.44,3758.68,3759.69
11/01/22,3901.79,3911.79,3843.80,3856.10
10/31/2022,3881.85,3893.73,3863.18,3871.98
